hair,eye,gender,count
black,brown,male,32
black,blue,male,11
black,hazel,male,10
black,green,male,3
brown,brown,male,53
brown,blue,male,50
brown,hazel,male,25
brown,green,male,15
red,brown,male,10
red,blue,male,10
red,hazel,male,7
red,green,male,7
blond,brown,male,3
blond,blue,male,30
blond,hazel,male,5
blond,green,male,8
black,brown,female,36
black,blue,female,9
black,hazel,female,5
black,green,female,2
brown,brown,female,66
brown,blue,female,34
brown,hazel,female,29
brown,green,female,14
red,brown,female,16
red,blue,female,7
red,hazel,female,7
red,green,female,7
blond,brown,female,4
blond,blue,female,64
blond,hazel,female,5
blond,green,female,8
