Region,Ahmadinejad,%,Rezai,%,Karrubi,%,Mousavi,%,Total votes,Invalid votes,Valid votes,Eligible voters,"Turnout, %"
East Azerbaijan,1131111,56.7503455611386,16920,0.84891389695129,7246,0.36354787809155,837858,42.0371926638186,2010340,17205,1993135,2461553,80.9706311422098
West Azerbaijan,623946,47.475008788202,12199,0.92820153059283,21609,1.64419271043369,656508,49.9525969707714,1334356,20094,1314262,1883144,69.7908391498473
Ardabil,325911,51.1126306198079,6578,1.0316279113534,2319,0.36368883040871,302825,47.4920526384299,642005,4372,637633,804881,79.2207792207792
Isfahan,1799255,68.8757766566794,51788,1.98245313838011,14579,0.55808651240526,746697,28.5836836925353,2637482,25163,2612319,2987946,87.4285880668526
Ilam,199654,64.5769992107953,5221,1.68870402235649,7471,2.4164542714088,96826,31.3178424954394,312667,3495,309172,357687,86.4364654013146
Bushehr,299357,61.369301921295,7608,1.55966838596462,3563,0.73042829379495,177268,36.3406013989455,493989,6193,487796,580822,83.9837333985283
Tehran,3819495,51.5741025426019,147487,1.99149616944144,67334,0.90920150978167,3371523,45.525199778175,7521540,115701,7405839,8796466,84.1910717326708
Chahar Mahaal and Bakhtiari,359578,73.0117991524753,22689,4.6069690330624,4127,0.8379814535435,106099,21.5432503609188,495446,2953,492493,562238,87.5951109672416
South Khorasan,285984,75.0147546014684,3962,1.03924855142602,928,0.24341813622497,90363,23.7025787108806,383157,1920,381237
Khorasan Razavi,2214801,70.1387795895864,44809,1.41902074932681,13561,0.42945257384947,884570,28.0127470872374,3181990,24249,3157741
North Khorasan,341104,74.0035884051557,4129,0.89579956999885,2478,0.53760991389129,113218,24.5630021109542,464001,3072,460929
Khuzestan,1303129,64.805753664047,139124,6.91875913494127,15934,0.79241186320228,552636,27.4830753378094,2038845,28022,2010823,2801644,71.7729661584413
Zanjan,444480,76.5631997795156,7276,1.25331587832018,2223,0.38291935094912,126561,21.8005649912151,585721,5181,580540,632160,91.8343457352569
Semnan,295177,77.7768116400276,4440,1.16990498474381,2147,0.56571756807319,77754,20.4875658071554,383308,3790,379518,436492,86.9472980031707
Sistan and Baluchestan,450269,46.0711015158569,6616,0.67694291107962,12504,1.27939754536571,507946,51.9725580276978,982920,5585,977335,1306624,74.7984883179859
Fars,1758026,70.1824156925241,23871,0.95295771791557,16277,0.64979652190992,706764,28.2148300676504,2523300,18362,2504938,2842209,88.1334905350029
Qazvin,498061,72.5749740262957,7978,1.16251451685996,2690,0.39197343323556,177542,25.8705380236087,692355,6084,686271,749205,91.599895889643
Qom,422457,71.6593586470693,16297,2.76438209775501,2314,0.39251274309413,148467,25.1837465120816,599040,9505,589535,655988,89.8697842033696
Kurdistan,315689,52.7499611504805,7140,1.19305621233059,13862,2.31626683688048,261772,43.7407158003085,610756,12293,598463,943818,63.4087292253379
Kerman,1160446,77.5860489714105,12016,0.80337556804924,4977,0.33275634172612,318250,21.2778191188141,1505814,10125,1495689,1738280,86.044193110431
Kermanshah,573568,59.1421842583924,11258,1.16084354493448,10798,1.11341167154046,374188,38.5835605251327,983422,13610,969812,1231672,78.7394695990491
Kohgiluyeh & Boyer-Ahmad,253962,69.4425987449243,8542,2.33569856308874,4274,1.1686695924422,98937,27.0530330995447,368707,2992,365715,415694,87.9769734468142
Golestan,515211,60.1108854149044,5987,0.69851744426853,10097,1.17804086099538,325806,38.0125562798317,869453,12352,857101,1059769,80.8762098155353
Gilan,998573,67.8570166568813,12022,0.81694283166982,7183,0.4881134885946,453806,30.8379270228543,1483258,11674,1471584,1576046,93.3718939675619
Lorestan,677829,70.906991121837,14920,1.56076577947802,44036,4.60656044672213,219156,22.9256826519628,964270,8329,955941,1124940,84.9770654434903
Mazandaran,1289257,67.7035835836046,19587,1.0285847520332,10050,0.52776212579433,585373,30.7400695385679,1919838,15571,1904267,1915240,99.4270691923728
Markazi,572988,73.6423119286336,10057,1.29255888616562,4675,0.60084645449183,190349,24.464282730709,785961,7892,778069,885557,87.8621026088665
Hormozgan,482990,65.5042917727347,7237,0.98149974028299,5126,0.69520072802136,241988,32.8190077589609,743024,5683,737341,919908,80.1537762471899
Hamadan,765723,75.8627556464388,13117,1.29954535231975,12032,1.19205074934141,218481,21.6456482519,1019169,9816,1009353,1256250,80.3465074626866
Yazd,337178,55.8289786537914,8406,1.39184168173419,2565,0.42470543821654,255799,42.3544742262579,609856,5908,603948,609341,99.114945490292

