n intercept age male white school income south outmig inmig empth toler selfless altru
1 1 53 1 1 14 110 0 0 0 28 31 13 4
2 1 33 1 0 16 26.25 0 0 0 18 11 9 3
3 1 24 1 0 14 32.5 0 0 0 19 16 8 2
4 1 19 1 0 12 110 0 0 0 17 13 11 2
5 1 40 1 0 18 82.5 0 0 0 21 19 12 2
6 1 42 1 0 14 27.5 0 0 0 22 21 9 3
7 1 27 1 1 9 26.25 0 0 0 23 34 10 2
8 1 20 1 0 14 55 0 0 0 13 17 8 2
9 1 81 1 1 16 27.5 0 0 0 20 4 11 0
10 1 65 0 1 12 26.25 0 0 0 19 15 12 1
11 1 35 1 0 13 32.5 0 0 0 18 15 8 2
12 1 30 1 1 18 110 0 0 0 25 20 11 4
13 1 57 0 1 20 67.5 0 0 0 17 21 11 3
14 1 53 0 1 18 110 0 0 0 19 10 8 3
15 1 48 1 1 16 23.75 0 0 0 21 21 8 4
16 1 23 0 0 13 25 0 0 0 11 22 12 5
17 1 36 1 0 14 110 0 0 0 19 13 11 2
18 1 24 1 0 12 26.25 0 0 0 22 19 11 5
19 1 61 0 1 15 82.5 0 0 0 25 21 12 3
20 1 49 1 1 14 27.5 0 0 0 28 23 16 4
21 1 53 0 1 13 23.75 0 0 0 26 20 7 5
22 1 63 0 1 16 32.5 0 0 0 28 11 12 3
23 1 38 1 1 13 110 0 0 0 24 20 11 4
24 1 31 0 1 16 82.5 0 0 0 25 15 13 4
25 1 42 1 0 18 110 0 0 0 16 7 10 3
26 1 53 0 1 18 100 0 0 0 21 14 15 3
27 1 25 0 0 14 26.25 0 0 0 22 15 12 1
28 1 26 1 1 16 27.5 0 0 0 20 22 12 2
29 1 39 0 0 15 32.5 0 0 0 18 17 8 4
30 1 45 1 1 17 22.5 0 0 0 19 9 11 2
31 1 45 1 1 12 67.5 0 0 0 14 12 8 3
32 1 22 0 0 12 27.5 0 0 0 24 11 11 3
33 1 43 0 0 16 67.5 0 0 0 24 18 12 3
34 1 55 0 1 12 37.5 0 0 0 26 13 15 4
35 1 31 1 1 20 110 0 0 0 12 6 7 1
36 1 33 0 0 19 100 0 0 0 17 7 10 4
37 1 29 0 0 16 45 0 0 0 8 7 12 3
